bnumber,MDS42_deleted,MDS69_deleted
b0001,0,0
b0002,0,0
b0003,0,0
b0004,0,0
b0005,0,0
b0006,0,0
b0007,0,0
b0008,0,0
b0009,0,0
b0010,0,0
b0011,0,0
b0013,0,0
b0014,0,0
b0015,0,0
b0016,1,1
b0018,1,1
b0019,1,1
b0020,1,1
b0021,1,1
b0022,1,1
b0023,0,0
b0024,0,0
b0025,0,0
b0026,0,0
b0027,0,0
b0028,0,0
b0029,0,0
b0030,0,0
b0031,0,0
b0032,0,0
b0033,0,0
b0034,0,0
b0035,0,0
b0036,0,0
b0037,0,0
b0038,0,0
b0039,0,0
b0040,0,0
b0041,0,0
b0042,0,0
b0043,0,0
b0044,0,0
b0045,0,0
b0046,0,0
b0047,0,0
b0048,0,0
b0049,0,0
b0050,0,0
b0051,0,0
b0052,0,0
b0053,0,0
b0054,0,0
b0055,0,0
b0058,0,0
b0059,0,0
b0060,0,0
b0061,0,0
b0062,0,0
b0063,0,0
b0064,0,0
b0065,0,0
b0066,0,0
b0067,0,0
b0068,0,0
b0069,0,0
b0070,0,0
b0071,0,0
b0072,0,0
b0073,0,0
b0074,0,0
b0075,0,0
b0076,0,0
b0077,0,0
b0078,0,0
b0080,0,0
b0081,0,0
b0082,0,0
b0083,0,0
b0084,0,0
b0085,0,0
b0086,0,0
b0087,0,0
b0088,0,0
b0089,0,0
b0090,0,0
b0091,0,0
b0092,0,0
b0093,0,0
b0094,0,0
b0095,0,0
b0096,0,0
b0097,0,0
b0098,0,0
b0099,0,0
b0101,0,0
b0102,0,0
b0103,0,0
b0104,0,0
b0106,0,0
b0107,0,0
b0108,0,0
b0109,0,0
b0110,0,0
b0111,0,0
b0112,0,0
b0113,0,0
b0114,0,0
b0115,0,0
b0116,0,0
b0117,0,0
b0118,0,0
b0119,0,0
b0120,0,0
b0121,0,0
b0122,0,0
b0123,0,0
b0124,0,0
b0125,0,0
b0126,0,0
b0127,0,0
b0128,0,0
b0129,0,0
b0130,0,0
b0131,0,0
b0132,0,0
b0133,0,0
b0134,0,0
b0135,0,0
b0136,0,0
b0137,0,0
b0138,0,0
b0139,0,0
b0140,0,0
b0141,0,0
b0142,0,0
b0143,0,0
b0144,0,0
b0145,0,0
b0146,0,0
b0147,0,0
b0148,0,0
b0149,0,0
b0150,1,1
b0151,1,1
b0152,1,1
b0153,1,1
b0154,0,0
b0155,0,0
b0156,0,0
b0157,0,0
b0158,0,0
b0159,0,0
b0160,0,0
b0161,0,0
b0162,0,0
b0163,0,0
b0164,0,0
b0166,0,0
b0167,0,0
b0168,0,0
b0169,0,0
b0170,0,0
b0171,0,0
b0172,0,0
b0173,0,0
b0174,0,0
b0175,0,0
b0176,0,0
b0177,0,0
b0178,0,0
b0179,0,0
b0180,0,0
b0181,0,0
b0182,0,0
b0183,0,0
b0184,0,0
b0185,0,0
b0186,0,0
b0187,0,0
b0188,0,0
b0189,0,0
b0190,0,0
b0191,0,0
b0192,0,0
b0193,0,0
b0194,0,0
b0195,0,0
b0196,0,0
b0197,0,0
b0198,0,0
b0199,0,0
b0200,0,0
b0201,0,0
b0202,0,0
b0203,0,0
b0204,0,0
b0205,0,0
b0206,0,0
b0207,0,0
b0208,0,0
b0209,0,0
b0210,0,0
b0211,0,0
b0212,0,0
b0213,0,0
b0214,0,0
b0215,0,0
b0216,0,0
b0217,0,0
b0218,0,0
b0219,0,0
b0220,0,0
b0221,0,0
b0222,0,0
b0223,0,0
b0224,0,0
b0225,0,0
b0226,0,1
b0227,0,1
b0228,0,1
b0229,0,1
b0230,0,1
b0231,0,1
b0232,0,1
b0233,0,1
b0234,0,1
b0235,0,0
b0236,0,0
b0237,0,0
b0238,0,0
b0239,0,0
b0240,0,0
b0241,0,0
b0242,0,0
b0243,0,0
b0244,0,0
b0245,1,1
b0246,1,1
b0247,1,1
b0248,1,1
b0249,1,1
b0250,1,1
b0251,1,1
b0252,1,1
b0253,1,1
b0254,1,1
b0256,1,1
b0258,1,1
b0259,1,1
b0260,1,1
b0261,1,1
b0262,1,1
b0263,1,1
b0264,1,1
b0265,1,1
b0266,1,1
b0267,1,1
b0268,1,1
b0269,1,1
b0270,1,1
b0271,1,1
b0272,1,1
b0273,1,1
b0274,1,1
b0275,1,1
b0276,1,1
b0277,1,1
b0278,1,1
b0279,1,1
b0280,1,1
b0281,1,1
b0283,1,1
b0284,1,1
b0285,1,1
b0286,1,1
b0287,1,1
b0288,1,1
b0289,1,1
b0290,1,1
b0291,1,1
b0292,1,1
b0293,1,1
b0294,1,1
b0295,1,1
b0296,1,1
b0297,1,1
b0298,1,1
b0299,1,1
b0300,1,1
b0301,1,1
b0303,1,1
b0304,1,1
b0305,1,1
b0306,1,1
b0307,1,1
b0308,1,1
b0310,1,1
b0311,0,0
b0312,0,0
b0313,0,0
b0314,0,0
b0315,0,1
b0316,0,1
b0317,0,1
b0318,0,1
b0319,0,1
b0320,0,1
b0321,0,1
b0323,0,1
b0324,0,1
b0325,0,1
b0326,0,1
b0327,0,1
b0328,0,1
b0329,0,1
b0330,0,1
b0331,0,1
b0333,0,1
b0334,0,1
b0335,0,1
b0336,0,1
b0337,0,1
b0338,0,1
b0339,0,1
b0340,0,1
b0341,0,1
b0342,0,1
b0343,0,1
b0344,0,1
b0345,0,1
b0346,0,1
b0347,0,1
b0348,0,1
b0349,0,1
b0350,0,1
b0351,0,1
b0352,0,1
b0353,0,1
b0354,0,1
b0355,0,0
b0356,0,0
b0357,0,0
b0358,1,1
b0360,1,1
b0361,1,1
b0363,1,1
b0364,1,1
b0365,1,1
b0366,1,1
b0367,1,1
b0368,1,1
b0369,0,0
b0372,1,1
b0373,1,1
b0375,1,1
b0376,1,1
b0377,1,1
b0378,1,1
b0379,1,1
b0380,1,1
b0381,0,0
b0382,0,0
b0383,0,0
b0384,0,0
b0385,0,0
b0386,0,0
b0387,0,0
b0388,0,0
b0389,0,0
b0390,0,0
b0391,0,0
b0392,0,0
b0393,0,0
b0394,0,0
b0396,0,0
b0397,0,0
b0398,0,0
b0399,0,0
b0400,0,0
b0401,0,0
b0402,0,0
b0403,0,0
b0404,0,0
b0405,0,0
b0406,0,0
b0407,0,0
b0408,0,0
b0409,0,0
b0410,0,0
b0411,0,0
b0412,0,0
b0413,0,0
b0414,0,0
b0415,0,0
b0416,0,0
b0417,0,0
b0418,0,0
b0419,0,0
b0420,0,0
b0421,0,0
b0422,0,0
b0423,0,0
b0424,0,0
b0425,0,0
