,Bnumber,Gen,Length
15,b0016,insL-1,1114
16,b0018,mokC,211
19,b0019,nhaA,1168
20,b0020,nhaR,907
22,b0022,insA-1,277
151,b0150,fhuA,2245
152,b0151,fhuC,799
153,b0152,fhuD,892
154,b0153,fhuB,1984
254,b0246,yafW,319
256,b0247,ykfG,478
257,b0248,yafX,460
258,b0249,ykfF,241
259,b0250,ykfB,469
260,b0251,yafY,445
263,b0252,yafZ,823
264,b0253,ykfA,865
265,b0254,perR,895
269,b0258,ykfC,1147
271,b0260,mmuP,1405
272,b0261,mmuM,934
273,b0262,afuC,1048
274,b0263,afuB,350
276,b0265,insA-2,277
279,b0266,yagB,352
280,b0267,yagA,1156
281,b0268,yagE,910
282,b0269,yagF,1969
283,b0270,yagG,1384
284,b0271,yagH,1612
285,b0272,xynR,760
286,b0273,argF,1006
290,b0276,yagJ,733
291,b0277,yagK,628
292,b0278,yagL,700
293,b0279,yagM,856
295,b0280,yagN,442
296,b0281,intF,1402
297,b0282,yagP,412
298,b0283,paoD,958
299,b0284,paoC,2200
300,b0285,paoB,958
301,b0286,paoA,691
302,b0287,yagU,616
303,b0288,ykgJ,331
304,b0289,ecpE,712
305,b0290,ecpD,1645
306,b0291,ecpC,2527
307,b0292,ecpB,670
308,b0293,ecpA,589
309,b0294,ecpR,592
310,b0295,ykgL,229
312,b0296,ykgM,265
315,b0297,eaeH,889
318,b0300,ykgA,688
320,b0301,rclC,595
321,b0303,rclB,238
322,b0304,rclA,1327
323,b0305,rclR,856
324,b0306,ykgE,721
325,b0307,ykgF,1429
326,b0308,ykgG,697
327,b0310,ykgH,670
333,b0315,pdeL,1090
334,b0316,yahB,934
335,b0317,yahC,499
336,b0318,yahD,607
337,b0319,yahE,865
338,b0320,yahF,1549
339,b0321,yahG,1420
341,b0323,yahI,952
342,b0324,yahJ,1384
343,b0325,yahK,1051
344,b0326,yahL,817
345,b0327,yahM,247
346,b0328,yahN,673
347,b0329,yahO,277
348,b0330,prpR,1588
349,b0331,prpB,892
350,b0333,prpC,1171
351,b0334,prpD,1453
352,b0335,prpE,1888
353,b0336,codB,1261
354,b0337,codA,1285
355,b0338,cynR,901
356,b0339,cynT,661
357,b0340,cynS,472
358,b0341,cynX,1156
359,b0342,lacA,613
360,b0343,lacY,1255
361,b0344,lacZ,3076
362,b0345,lacI,1084
363,b0346,mhpR,835
364,b0347,mhpA,1666
365,b0348,mhpB,946
366,b0349,mhpC,868
367,b0350,mhpD,811
368,b0351,mhpF,952
369,b0352,mhpE,1015
370,b0353,mhpT,1213
371,b0354,yaiL,541
375,b0358,yaiO,775
377,b0360,insC-1,367
378,b0361,insD-1,907
379,b0363,yaiP,1198
381,b0364,yaiS,559
382,b0365,tauA,964
383,b0366,tauB,769
384,b0367,tauC,829
385,b0368,tauD,853
388,b0372,insF-2,868
389,b0373,insE-2,301
390,b0375,iprA,625
391,b0376,ampH,1159
392,b0377,sbmA,1222
393,b0378,yaiW,1096
394,b0379,yaiY,310
395,b0380,yaiZ,214
500,b0484,copA,2506
501,b0485,glsA,934
502,b0486,ybaT,1294
503,b0487,cueR,409
504,b0488,ybbJ,460
505,b0489,qmcA,919
506,b0490,fetA,679
507,b0491,fetB,781
508,b0492,cnoX,856
509,b0493,ybbO,811
510,b0494,tesA,628
511,b0495,ybbA,688
512,b0496,ybbP,2416
513,b0497,rhsD,4282
514,b0498,ybbC,370
515,b0499,ylbH,712
516,b0501,ybbD,492
518,b0502,ylbG,373
519,b0503,selU,1096
520,b0504,allS,928
521,b0505,allA,484
522,b0506,allR,817
523,b0507,gcl,1783
