,Bnumber,Gen,Length
2926,b2817,amiC,1255
2927,b2818,argA,1333
2928,b2819,recD,1828
2929,b2820,recB,3544
2930,b2821,ptrA,2890
2931,b2822,recC,3370
2932,b2823,ppdC,325
2933,b2824,ygdB,409
4851,b0272,xynR,760
4852,b0273,argF,1006
4853,b4688,ykgS,130
4854,b0274,insB-3,505
4855,b0275,insA-3,277
4856,b0276,yagJ,733
4857,b0277,yagK,628
4858,b0278,yagL,700
4859,b0279,yagM,856
4860,b4729,ykgV,226
4861,b0280,yagN,442
4862,b0281,intF,1402
4863,b0282,yagP,412
4864,b0283,paoD,958
4865,b0284,paoC,2200
4866,b0285,paoB,958
4867,b0286,paoA,691
4868,b0287,yagU,616
4869,b0288,ykgJ,331
4870,b0289,ecpE,712
4871,b0290,ecpD,1645
4872,b0291,ecpC,2527
4873,b0292,ecpB,670
4874,b0293,ecpA,589
4875,b0294,ecpR,592
4876,b0295,ykgL,229
4877,b4506,ykgO,142
4878,b0296,ykgM,265
4879,b4671,ykgR,103
4880,b4630,ykgP,91
4881,b0297,eaeH,889
4882,b0298,insE-1,301
4883,b0299,insF-1,868
4884,b0300,ykgA,688
4885,b4631,ykgQ,130
4886,b0301,rclC,595
4887,b0303,rclB,238
4888,b0304,rclA,1327
4889,b0305,rclR,856
4890,b0306,ykgE,721
4891,b0307,ykgF,1429
4892,b0308,ykgG,697
4893,b0310,ykgH,670
4894,b0311,betA,1672
4895,b0312,betB,1474
4896,b0313,betI,589
4897,b0314,betT,2035
4898,b4730,yahV,76
4899,b0315,pdeL,1090
4900,b0316,yahB,934
4901,b0317,yahC,499
4902,b0318,yahD,607
4903,b0319,yahE,865
4904,b0320,yahF,1549
4905,b0321,yahG,1420
4906,b0322,yahH,298
4907,b0323,yahI,952
4908,b0324,yahJ,1384
4909,b0325,yahK,1051
4910,b0326,yahL,817
4911,b0327,yahM,247
4912,b0328,yahN,673
4913,b0329,yahO,277
4914,b0330,prpR,1588
4915,b0331,prpB,892
4916,b0333,prpC,1171
4917,b0334,prpD,1453
4918,b0335,prpE,1888
4919,b0336,codB,1261
4920,b0337,codA,1285
4921,b0338,cynR,901
4922,b0339,cynT,661
4923,b0340,cynS,472
4924,b0341,cynX,1156
4925,b0342,lacA,613
4926,b0343,lacY,1255
4927,b0344,lacZ,3076
12658,b3409,feoB,2323
12659,b3410,feoC,238
12660,b3411,rpnA,880
12661,b3412,bioH,772
12662,b3413,yhgH,685
12663,b3414,nfuA,577
12664,b3415,gntT,1318
12665,b3416,malQ,2086
12666,b3417,malP,2395
12667,b3418,malT,2707
12668,b4475,rtcA,1018
12669,b3421,rtcB,1228
12670,b3422,rtcR,1600
12671,b3423,glpR,759
12672,b3424,glpG,832
12673,b3425,glpE,328
12674,b3426,glpD,1507
12675,b3427,yzgL,283
12676,b3428,glgP,2449
12677,b3429,glgA,1435
12678,b3430,glgC,1297
12679,b3431,glgX,1975
12680,b3432,glgB,2188
18242,b4382,deoA,1324
18243,b4383,deoB,1225
18244,b4384,deoD,721
18245,b4385,yjjJ,1333
18246,b4386,lplA,1018
18247,b4387,ytjB,646
18248,b4388,serB,970
18249,b4389,radA,1384
18250,b4390,nadR,1234
18251,b4391,ettA,1669
18252,b4392,slt,1939
18253,b4393,trpR,328
18254,b4394,yjjX,514
18255,b4395,ytjC,649
18256,b4396,rob,871
18257,b4397,creA,475
18258,b4398,creB,691
18259,b4399,creC,1426
21784,b3403,pck,1624
21785,b3404,envZ,1354
21786,b3405,ompR,721
21787,b3406,greB,478
21788,b3407,yhgF,2323
21789,b3408,feoA,229
23611,b0756,galM,1042
23612,b0757,galK,1150
23613,b0758,galT,1048
23614,b0759,galE,1018
23615,b0760,modF,1474
