,Bnumber,Gen,Length
15,b0016,insL-1,1114
16,b0018,mokC,211
17,b4412,hokC,154
18,b4413,sokC,56
19,b0019,nhaA,1168
20,b0020,nhaR,907
21,b0021,insB-1,505
22,b0022,insA-1,277
151,b0150,fhuA,2245
152,b0151,fhuC,799
153,b0152,fhuD,892
154,b0153,fhuB,1984
231,b0226,dinJ,262
232,b0227,yafL,751
233,b0228,rayT,499
234,b0229,lfhA,1714
235,b0230,lafU,757
236,b0231,dinB,1057
237,b0232,yafN,295
238,b0233,yafO,400
239,b0234,yafP,454
253,b0245,ykfI,343
254,b0246,yafW,319
255,b4504,ykfH,223
256,b0247,ykfG,478
257,b0248,yafX,460
258,b0249,ykfF,241
259,b0250,ykfB,469
260,b0251,yafY,445
261,b4627,ykfL,223
262,b4628,ykfK,193
263,b0252,yafZ,823
264,b0253,ykfA,865
265,b0254,perR,895
266,b4587,insN,1914
267,b0256,insI-1,1153
268,b4690,eyeA,76
269,b0258,ykfC,1147
270,b0259,insH-1,1018
271,b0260,mmuP,1405
272,b0261,mmuM,934
273,b0262,afuC,1048
274,b0263,afuB,350
275,b0264,insB-2,505
276,b0265,insA-2,277
277,b4708,insI2,175
278,b4505,insX,250
279,b0266,yagB,352
280,b0267,yagA,1156
281,b0268,yagE,910
282,b0269,yagF,1969
283,b0270,yagG,1384
284,b0271,yagH,1612
285,b0272,xynR,760
286,b0273,argF,1006
287,b4688,ykgS,130
288,b0274,insB-3,505
289,b0275,insA-3,277
290,b0276,yagJ,733
291,b0277,yagK,628
292,b0278,yagL,700
293,b0279,yagM,856
295,b0280,yagN,442
296,b0281,intF,1402
298,b0283,paoD,958
299,b0284,paoC,2200
300,b0285,paoB,958
301,b0286,paoA,691
302,b0287,yagU,616
303,b0288,ykgJ,331
304,b0289,ecpE,712
305,b0290,ecpD,1645
306,b0291,ecpC,2527
307,b0292,ecpB,670
308,b0293,ecpA,589
309,b0294,ecpR,592
310,b0295,ykgL,229
311,b4506,ykgO,142
312,b0296,ykgM,265
313,b4671,ykgR,103
314,b4630,ykgP,91
315,b0297,eaeH,889
316,b0298,insE-1,301
317,b0299,insF-1,868
318,b0300,ykgA,688
319,b4631,ykgQ,130
320,b0301,rclC,595
321,b0303,rclB,238
322,b0304,rclA,1327
323,b0305,rclR,856
324,b0306,ykgE,721
325,b0307,ykgF,1429
326,b0308,ykgG,697
327,b0310,ykgH,670
333,b0315,pdeL,1090
334,b0316,yahB,934
335,b0317,yahC,499
336,b0318,yahD,607
337,b0319,yahE,865
338,b0320,yahF,1549
339,b0321,yahG,1420
341,b0323,yahI,952
342,b0324,yahJ,1384
343,b0325,yahK,1051
344,b0326,yahL,817
345,b0327,yahM,247
346,b0328,yahN,673
347,b0329,yahO,277
348,b0330,prpR,1588
349,b0331,prpB,892
350,b0333,prpC,1171
351,b0334,prpD,1453
352,b0335,prpE,1888
353,b0336,codB,1261
354,b0337,codA,1285
355,b0338,cynR,901
356,b0339,cynT,661
357,b0340,cynS,472
358,b0341,cynX,1156
359,b0342,lacA,613
360,b0343,lacY,1255
361,b0344,lacZ,3076
362,b0345,lacI,1084
363,b0346,mhpR,835
364,b0347,mhpA,1666
365,b0348,mhpB,946
366,b0349,mhpC,868
367,b0350,mhpD,811
368,b0351,mhpF,952
369,b0352,mhpE,1015
370,b0353,mhpT,1213
371,b0354,yaiL,541
375,b0358,yaiO,775
376,b4579,yaiX,2030
377,b0360,insC-1,367
378,b0361,insD-1,907
379,b0363,yaiP,1198
381,b0364,yaiS,559
382,b0365,tauA,964
383,b0366,tauB,769
384,b0367,tauC,829
