,Bnumber,Gen,Length
147,b0149,mrcB,2536
148,b0150,fhuA,2245
149,b0151,fhuC,799
150,b0152,fhuD,892
151,b0153,fhuB,1984
4667,b0223,yafJ,769
4668,b0224,yafK,742
4669,b0225,yafQ,280
4670,b0226,dinJ,262
4671,b0227,yafL,751
4672,b0228,yafM,499
4673,b0229,fhiA,1714
4674,b0230,mbhA,757
4675,b0231,dinB,1057
4676,b0232,yafN,295
4677,b0233,yafO,400
4678,b0234,yafP,454
4679,b0235,ykfJ,268
4680,b0236,prfH,502
9133,b0245,ykfI,343
9134,b0246,yafW,319
9135,b4504,ykfH,223
9136,b0247,ykfG,478
9137,b0248,yafX,460
9138,b0249,ykfF,241
9139,b0250,ykfB,469
9140,b0251,yafY,859
9141,b0252,yafZ,823
9142,b0253,ykfA,865
9143,b0254,perR,895
9144,b0255,insN,406
9145,b0256,insI,1153
9146,b0257,insO,427
9147,b0258,ykfC,1147
9148,b0259,insH,1018
9149,b0260,mmuP,1405
9150,b0261,mmuM,934
9151,b0262,afuC,1048
9152,b0263,afuB,364
9153,b0264,insB,505
9154,b0265,insA,277
9155,b4505,ykgN,340
9156,b0266,yagB,352
9157,b0267,yagA,1156
9158,b0268,yagE,931
9159,b0269,yagF,1969
9160,b0270,yagG,1384
9161,b0271,yagH,1612
9162,b0272,yagI,760
9163,b0273,argF,1006
9164,b0274,insB,505
9165,b0275,insA,277
9166,b0276,yagJ,733
9167,b0277,yagK,628
9168,b0278,yagL,700
9169,b0279,yagM,856
9170,b0280,yagN,442
9171,b0281,intF,1402
9172,b0282,yagP,412
9173,b0283,yagQ,958
9174,b0284,yagR,2200
9175,b0285,yagS,958
9176,b0286,yagT,691
9177,b0287,yagU,616
9178,b0288,ykgJ,331
9179,b0289,yagV,712
9180,b0290,yagW,1645
9181,b0291,yagX,2527
9182,b0292,yagY,670
9183,b0293,yagZ,589
9184,b0294,ykgK,592
9185,b0295,ykgL,229
9186,b4506,ykgM,142
9187,b0297,eaeH,889
9188,b0298,insE,310
9189,b0299,insF,868
9190,b0300,ykgA,688
9191,b0301,ykgB,595
9192,b0303,ykgI,238
9193,b0304,ykgC,1327
9194,b0305,ykgD,856
9195,b0306,ykgE,721
9196,b0307,ykgF,1429
9197,b0308,ykgG,697
9198,b0310,ykgH,670
9199,b0311,betA,1672
9200,b0312,betB,1474
9201,b0313,betI,589
9202,b0314,betT,2035
9203,b0315,yahA,1090
9204,b0316,yahB,934
9205,b0317,yahC,499
9206,b0318,yahD,607
9207,b0319,yahE,865
9208,b0320,yahF,1549
9209,b0321,yahG,1420
9210,b0322,yahH,298
9211,b0323,yahI,952
9212,b0324,yahJ,1384
9213,b0325,yahK,1051
9214,b0326,yahL,817
9215,b0327,yahM,247
9216,b0328,yahN,673
9217,b0329,yahO,277
9218,b0330,prpR,1588
9219,b0331,prpB,892
9220,b0333,prpC,1171
9221,b0334,prpD,1453
9222,b0335,prpE,1888
9223,b0336,codB,1261
9224,b0337,codA,1285
9225,b0338,cynR,901
9226,b0339,cynT,661
9227,b0340,cynS,472
9228,b0341,cynX,1156
9229,b0342,lacA,613
9230,b0343,lacY,1255
9231,b0344,lacZ,3076
9232,b0345,lacI,1084
9233,b0346,mhpR,949
9234,b0347,mhpA,1666
9235,b0348,mhpB,946
9236,b0349,mhpC,883
9237,b0350,mhpD,811
9238,b0351,mhpF,952
9239,b0352,mhpE,1015
9240,b0353,mhpT,1213
9241,b0354,yaiL,541
9242,b0355,frmB,835
9243,b0356,frmA,1111
9244,b0357,frmR,277
9245,b0358,yaiO,775
9246,b0359,yaiX,217
9247,b0360,insC,412
9248,b0361,insD,907
9249,b0362,yaiF,388
9250,b0363,yaiP,1198
9251,b0364,yaiS,559
9252,b0365,tauA,964
9253,b0366,tauB,769
9254,b0367,tauC,829
9255,b0368,tauD,853
13702,b0371,yaiT,1462
13703,b0372,insF,868
13704,b0373,insE,310
13705,b0374,yaiU,1405
13706,b0375,yaiV,670
13707,b0376,ampH,1159
13708,b0377,sbmA,1222
13709,b0378,yaiW,1096
13710,b0379,yaiY,310
13711,b0380,yaiZ,214
13712,b0381,ddlA,1096
13713,b0382,yaiB,262
13714,b0383,phoA,1417
13715,b0384,psiF,322
13716,b0385,yaiC,1117
18267,b0493,ybbO,811
18268,b0494,tesA,628
18269,b0495,ybbA,688
18270,b0496,ybbP,2416
18271,b0497,rhsD,4282
18272,b0498,ybbC,370
18273,b0499,ylbH,712
18274,b0500,ybbD,262
18275,b0502,ylbG,373
